feature,group1_mean,group2_mean,group1_std,group2_std,fold_change,statistic,p_value,neg_log10_p,significant,n_group1,n_group2,p_adjusted,significant_adj
LPC(17:0),1.9459696969696971,2.4106620000000003,0.5902129642374765,0.6305453485049367,-0.30894013841483886,-5.367746282186465,2.2356184393223465e-07,6.650602316991845,True,99,100,0.00015246917756178404,True
CE(17:0),6.690257575757575,7.952102000000001,1.8231666088682141,2.2974270872891918,-0.24927450595707507,-4.293954830298686,2.8086254470105203e-05,4.5515061736294875,True,99,100,0.009577412774305875,True
SM(20:1),8.866510101010102,9.953418000000001,1.9420248767556365,1.9350034860919187,-0.16682566662160117,-3.9546691595295327,0.00010685140651579533,3.9712197567191136,True,99,100,0.024290886414590807,True
DAG(16:0/16:0),1.891129487179487,1.3224103896103898,1.2074135890792517,0.5905410923320586,0.5160781814731799,3.7322613541163596,0.0002996586840362893,3.5233731320359327,True,78,77,0.051091805628187326,False
LPC(18:1),25.301792929292933,28.857139000000007,6.746517000830912,7.275232598994601,-0.18968865246568803,-3.5749864161140374,0.00044096721622982464,3.355593697016801,True,99,100,0.05893445332791692,False
CE(20:0),40.15935252525252,58.432735,33.94028313218567,40.81519014157356,-0.5410408080463053,-3.435320741717383,0.0007257961690197561,3.1391853284721543,True,99,100,0.05893445332791692,False
LPC(15:0),0.9587270833333333,1.1087202020202023,0.3068391625588633,0.3029456777532014,-0.2097032360393444,-3.4340697176342094,0.0007279770202467674,3.1378823296670997,True,96,99,0.05893445332791692,False
CE(15:0),7.149177777777779,8.285445,2.102390190709358,2.602499165249869,-0.21280185641615904,-3.389548797602331,0.0008518138041134615,3.0696553262231445,True,99,100,0.05893445332791692,False
CE(22:2),8.16111030927835,11.423066999999998,6.153544720736248,7.4092235757442655,-0.485112706422915,-3.3656363565236833,0.0009235766027430911,3.0345270777343716,True,97,100,0.05893445332791692,False
CE(22:6),22.701047474747472,26.354000999999993,7.991787649018765,7.41022068631549,-0.21526313675779823,-3.3426907328515187,0.000994147931538752,3.002548986758848,True,99,100,0.05893445332791692,False
TAG52:4-FA20:4,4.0858474747474745,2.499273,4.2700360758009435,1.9885143106875265,0.7091268486718572,3.3543796983850336,0.001026731760951787,2.988543003291305,True,99,100,0.05893445332791692,False
TAG54:4-FA20:4,2.632033333333334,1.8227289999999998,2.16137816304169,1.1053411994177644,0.5300776776654686,3.3204699603771193,0.0011358108960781096,2.9446939693522434,True,99,100,0.05893445332791692,False
CE(24:1),1.0505650793650796,1.4028641975308642,0.49636380848505046,0.7752752226320407,-0.4172098186028484,-3.30959461364524,0.0011934523722505986,2.9231949079362196,True,63,81,0.05893445332791692,False
SM(26:0),0.6466656565656564,0.7428420000000001,0.20022143311314314,0.21539491763134555,-0.20003539104168533,-3.2627743580171944,0.0013012935385291165,2.885624726663638,True,99,100,0.05893445332791692,False
TAG54:5-FA22:5,1.5981939393939395,1.0088510000000002,1.69622489013753,0.6008164836026778,0.6637293688095713,3.2604592742616862,0.0014420093805512853,2.8410319144373877,True,99,100,0.05893445332791692,False
TAG48:1-FA16:1,10.875549494949494,5.865353,14.26709786081515,5.772653779000881,0.8907984518348627,3.241303611577101,0.0015141898568248318,2.819819667371003,True,99,100,0.05893445332791692,False
CE(22:4),1.0384376344086022,1.1960656565656567,0.31703059992001953,0.3636190878562222,-0.2038820102134074,-3.2067112497999104,0.0015768135700104297,2.802219651187207,True,93,99,0.05893445332791692,False
TAG56:4-FA20:4,0.6728181818181816,0.4995920000000001,0.4711540255463144,0.2559311565735023,0.42946631001538954,3.218232614451636,0.0015790220803651028,2.801611796962146,True,99,100,0.05893445332791692,False
CE(20:2),2.3377808080808085,2.6525790000000002,0.6842911128144887,0.706608703211003,-0.1822560497345325,-3.1925414663670013,0.0016418689343554568,2.784661514304309,True,99,100,0.05893445332791692,False
TAG52:3-FA20:3,2.210269696969697,1.3071139999999999,2.6708512272786793,0.9533561650179737,0.7578374420794515,3.1705507316456676,0.0019229957528413405,2.716021674950083,True,99,100,0.06557415517188972,False
TAG54:4-FA22:4,0.7166463917525774,0.43705368421052626,0.8219200203210488,0.29923264905013086,0.7134509260145132,3.144273554526448,0.002093245731956979,2.679179785627574,True,97,95,0.0679806471045076,False
CE(24:0),3.2810033333333335,4.912064948453608,2.878683758109294,4.260335426080548,-0.582192575457879,-3.086863335287688,0.0023636127352231126,2.626423678693123,True,90,97,0.07327199479191648,False
CE(18:1),556.9113888888888,612.768047,130.73268068264645,126.56361235989893,-0.13789327321184067,-3.0617527721833193,0.002508232749046213,2.6006321660325464,True,99,100,0.07437455368910945,False
SM(26:1),1.0101737373737374,1.1194339999999998,0.2506509055361532,0.25603605657537115,-0.14816603036226175,-3.0418810809472188,0.002671222990516908,2.5732898560787,True,99,100,0.07590725331385548,False
PC(17:0/18:1),1.3730483870967742,1.5262144329896907,0.37184456681840905,0.3321617552707098,-0.15257520601158284,-2.9899540381962306,0.0031727321972310515,2.4985665841155287,True,93,97,0.0825620627003253,False
DAG(16:0/18:1),6.80428556701031,5.296042000000001,4.1345960730510924,2.8005409841087356,0.3615291262890461,2.9887239810873347,0.003221473405644839,2.491945449551026,True,97,100,0.0825620627003253,False
DAG(16:0/18:2),3.029852564102564,2.4191416666666665,1.3703543086942793,1.2194017072583827,0.3247523340602608,2.9879088858294143,0.003268586059983553,2.4856400758245956,True,78,84,0.0825620627003253,False
TAG56:5-FA20:4,4.988377777777778,3.8400449999999995,3.4266342621353565,1.738745868674699,0.3774475085986815,2.976547622353183,0.003417004062847201,2.4663545048210582,True,99,100,0.08322845610220682,False
TAG48:0-FA16:0,33.390418181818184,14.803218,60.2695514407013,15.970751099870544,1.1735233308457766,2.967152055375304,0.0036781983510720128,2.4343648546375447,True,99,100,0.08650107846314181,False
TAG48:1-FA16:0,44.98374747474748,26.387062999999998,59.078451110946006,22.77593280662396,0.7695730718440252,2.9242594227850747,0.0040940460078242565,2.387847281157654,True,99,100,0.08693059849250996,False
TAG56:5-FA18:0,2.023059595959596,1.5269500000000003,1.541406434762216,0.7042626093505837,0.40588599575548295,2.9153078760080513,0.004152867945729633,2.3816518785103353,True,99,100,0.08693059849250996,False
PC(17:0/18:2),2.9445313131313133,3.308290000000001,0.9599507690019536,0.8227536200424337,-0.16804768840206266,-2.8688368583040296,0.004581290170487759,2.339012199939559,True,99,100,0.08693059849250996,False
TAG52:2-FA20:2,1.4447515151515147,0.814507,2.102765650055613,0.5404988786568321,0.8268223725198535,2.889198946240071,0.004647148272827173,2.3328134706148775,True,99,100,0.08693059849250996,False
SM(22:1),37.146955555555564,39.899984999999994,6.733584151910607,6.870235712442493,-0.10314422706910358,-2.8547695106196103,0.004767853880817503,2.321677062774332,True,99,100,0.08693059849250996,False
TAG50:0-FA16:0,34.52197070707071,18.011049,55.018352914597095,15.29157877657177,0.9386326144078225,2.8779230131044296,0.004788487713085419,2.3198016226109113,True,99,100,0.08693059849250996,False
TAG52:0-FA18:0,7.352945454545456,4.093971,10.875146035494,2.962809147942254,0.8448213982942279,2.877838163584627,0.004793906160755869,2.3193104714005672,True,99,100,0.08693059849250996,False
TAG50:1-FA16:0,240.92547676767674,139.77691399999998,336.2579675687653,100.84312413673514,0.7854608597205361,2.868024902803894,0.0049127339230991655,2.308676756903042,True,99,100,0.08693059849250996,False
TAG54:5-FA20:4,15.559650505050506,11.842463,11.361329172593997,6.324592296065055,0.3938404906879018,2.847737343973849,0.005008251942870162,2.300313831825169,True,99,100,0.08693059849250996,False
TAG47:0-FA15:0,0.7790549450549451,0.42637528089887644,1.1173783376242543,0.38206380127625117,0.8696012664123695,2.8456439288186446,0.0052783784639052695,2.277499473742158,True,91,89,0.08693059849250996,False
TAG50:0-FA18:0,11.585692929292929,5.615449999999999,20.270688330671838,5.152895746082973,1.0448707874220944,2.8410290483409004,0.005355556966164692,2.271195356810908,True,99,100,0.08693059849250996,False
TAG50:1-FA18:1,129.9837212121212,76.71103199999999,179.4801721241552,52.283385878913876,0.7608249802643621,2.8365415396919134,0.005395682953786216,2.267953577062846,True,99,100,0.08693059849250996,False
TAG54:3-FA20:3,1.1028858585858583,0.786704,1.0221802742487676,0.4409741623984679,0.48739065984910807,2.8281694782014455,0.0054064678926779765,2.267086371805071,True,99,100,0.08693059849250996,False
TAG56:5-FA16:0,1.07590101010101,0.8028080000000002,0.8845733606123868,0.3809502161806458,0.4224184437270341,2.8235106037460125,0.005481724114938089,2.261082825486601,True,99,100,0.08693059849250996,False
TAG47:0-FA16:0,1.5582785714285714,0.8487050505050506,2.3527111024951886,0.8349260791395211,0.8766179895904139,2.815334218760321,0.005691556009353162,2.244768985996162,True,98,99,0.08693059849250996,False
SM(18:1),13.174395959595962,14.553047999999999,3.5960214886908517,3.365813741927722,-0.14358452725012094,-2.791531941708198,0.005765393876810737,2.2391710174790513,True,99,100,0.08693059849250996,False
TAG49:0-FA17:0,1.1341402061855668,0.6147855670103093,1.728217940819615,0.5820696455661634,0.8834437901556603,2.8049081400310123,0.005891613275187861,2.2297657679332756,True,97,97,0.08693059849250996,False
TAG54:5-FA16:0,8.299655555555555,6.0903719999999995,7.2564878810763975,3.104103798414173,0.44652111305360764,2.787332636199106,0.006096577851582649,2.2149138760089957,True,99,100,0.08693059849250996,False
TAG49:0-FA16:0,2.7289838383838383,1.510846,4.108197788660684,1.4171161154010254,0.8530072318315707,2.7904916964852537,0.0061182825918482085,2.2133704676511154,True,99,100,0.08693059849250996,False
TAG54:6-FA16:0,4.146151515151515,2.950924,3.9851277702191887,1.5607395684835772,0.49060607206947593,2.7805337983914042,0.006252470127664757,2.203948374514909,True,99,100,0.08702417606259927,False
TAG56:6-FA18:0,1.1686242424242423,0.8558080000000001,1.0531040948113104,0.40194041889239507,0.4494520477624809,2.763003433335522,0.006587632868903102,2.181270612212111,True,99,100,0.08985531233183831,False
TAG52:0-FA16:0,5.199315151515152,2.93627,7.896319112665965,2.2286712648045826,0.8243369683209643,2.7453821741985176,0.007030278091309573,2.153027495587216,True,99,100,0.09272600027043412,False
TAG50:1-FA18:0,9.756850505050506,6.207742,12.04505149921111,4.856084670795532,0.6523469236406213,2.72099928993085,0.007408922732300692,2.1302449344537107,True,99,100,0.09272600027043412,False
TAG46:0-FA14:0,5.1462252525252525,2.351672,9.809989425604813,2.8259411076051326,1.1298277485352577,2.72468988680784,0.007450958033905968,2.127787882676014,True,99,100,0.09272600027043412,False
TAG54:0-FA18:0,1.1835242424242425,0.6881139999999999,1.77008817629385,0.3743283728374208,0.7823697472336065,2.725087174538814,0.007514771173675279,2.1240842392318524,True,99,100,0.09272600027043412,False
TAG50:1-FA16:1,9.257248484848486,6.339163000000002,9.63968759908916,4.693951694858785,0.5462910821169881,2.7105969517747193,0.0075465683478622425,2.1222504902766235,True,99,100,0.09272600027043412,False
TAG46:0-FA16:0,9.559819191919193,4.354636999999999,18.34997609086291,5.177482963945946,1.1344308688635039,2.7173451796661077,0.00761386512484503,2.118394820725534,True,99,100,0.09272600027043412,False
TAG46:1-FA16:1,2.894089898989899,1.664879381443299,4.191629640894761,1.7203210038959142,0.7976920737385924,2.695334655246002,0.0079568831638989,2.099257018921015,True,99,97,0.09485812056307688,False
TAG56:4-FA18:0,1.275628282828283,0.953319,1.1135083655780622,0.4330677565422825,0.4201770309635518,2.6859360451400867,0.008201694391646143,2.0860964172595104,True,99,100,0.09485812056307688,False
TAG48:0-FA14:0,3.6484848484848484,2.0417289999999997,5.656662934591772,1.8408319965313344,0.8375060703175058,2.6887890891554838,0.008206201045779378,2.0858578473492386,True,99,100,0.09485812056307688,False
PC(16:0/16:1),12.890575757575759,10.690440999999998,6.7320490843956575,4.854495858627684,0.26999533482125354,2.642065573538094,0.00897355492095005,2.0470354748262283,True,99,100,0.09639219424173662,False
TAG56:5-FA22:4,2.62619898989899,2.025422,2.031047161376039,0.9992484783732787,0.3747537060885703,2.64341132350237,0.009126520323302271,2.039694774759366,True,99,100,0.09639219424173662,False
TAG46:1-FA14:0,5.982034343434344,3.557021,8.515177174917564,3.2774302293938233,0.7499666996558032,2.6461868986144457,0.009176951825346377,2.037301548130153,True,99,100,0.09639219424173662,False
TAG54:6-FA22:6,2.061912121212121,1.1380029999999999,3.3692001676129917,0.9209813001594734,0.8574784797301099,2.6328311870305616,0.00965859639923868,2.0150859812817647,True,99,100,0.09639219424173662,False
TAG48:0-FA18:0,2.261042424242424,1.192412,3.880153878867694,1.1860298494105994,0.9231052568336242,2.6217182579717,0.00992190644691388,2.0034048722182582,True,99,100,0.09639219424173662,False
TAG56:6-FA22:4,1.7504696969696967,1.3142449999999999,1.5562429194629217,0.5736052296394246,0.4135078379814704,2.6184792500497664,0.009933902405562958,2.0028801109940746,True,99,100,0.09639219424173662,False
TAG48:1-FA14:0,25.917461616161617,15.920110999999999,35.897677306093065,12.491770097114768,0.7030740308624057,2.6184858279735588,0.009959191495978036,2.0017759169063782,True,99,100,0.09639219424173662,False
TAG52:5-FA20:4,3.212628282828283,2.404437,2.57641886568097,1.7056280809236672,0.4180549360709392,2.606505758373496,0.009960265116816436,2.0017291016126393,True,99,100,0.09639219424173662,False
TAG52:1-FA18:0,46.972801010101,29.414576,63.98848625523525,19.372210234855977,0.6752943840605539,2.6141838154235173,0.010134210881832459,1.9942100627586619,True,99,100,0.09639219424173662,False
