,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Group
1,231.15804742979375,-15.25812225015365,-21.93789546487473,10.332035145311917,-15.808509922383736,-0.6842411107554601,-3.388020159954382,-1.632248809497402,-0.08340014007036428,1.938747398322925,Case
10,3.967531666270814,4.902600708461609,-4.248865248844855,-2.7139660348391392,-1.4359254557574752,1.4062471825515217,0.9514493340681818,-2.882822402706671,3.4549529889550796,-1.2289428377191847,Case
100,-11.337213782347487,-2.060586461808412,-2.730610634521121,-1.651701382366054,-3.3007630811546895,0.9922419046772479,-2.984716825856631,-2.538236251547522,0.16986138841551493,-4.016668296743048,Case
105,24.15093544681581,17.63379518079566,3.766044803242279,-5.20277643481047,1.2669144157999395,-2.9393431589177643,-4.804593739081918,-6.009855931795931,-1.8075872700740003,-4.009563320855926,Case
106,-5.360499780837039,-3.7605861367027575,-3.490295780797329,-1.699120859744679,1.9078108521531072,-2.65185024493703,-1.1655348546169135,-4.023527591980268,-2.552521439771046,-3.0428012473993147,Case
110,-2.514335769390613,-0.9192519225349604,3.535251408937861,-1.7692865040094528,-2.2188698710980534,3.128300846009118,0.011641478959961331,-0.3926313471687898,-0.7402041991683743,1.7643129282315975,Case
113,22.116230036835265,-12.817012307123857,18.194153332792748,-7.1536838561117,0.8282567973502412,1.767104400693431,1.2234833409634396,1.4365531537636882,-1.8822019747924765,1.1710341634716812,Case
114,15.575511533080126,-0.690898913451789,13.088799458171518,-8.488569483750508,1.5369868200726964,-1.0430834961162787,-2.92355337156579,-5.896928524593177,0.45447095288004274,-0.9485832512079839,Case
115,35.072927768459586,-13.109156565372007,1.6608021615358994,-11.133950250070786,10.370170766056622,0.8500203130876122,8.895853027855445,-4.7064098379873975,-1.4106304298878574,-2.8467854588566075,Case
116,-9.510184974981934,-2.9178036116334614,-8.05325011740278,-6.381501963484687,-0.8422263232079762,3.736147524025864,-1.5666755877606122,-1.9612123403302477,1.5364655668945046,0.48928737792142885,Case
118,-8.673343210257414,-1.3624351911544754,-3.127668998332848,-1.0801904966055347,0.11245960491557418,1.3256982826113397,1.1689804633392207,1.228177893670627,-0.47123575476341756,1.0566093950254607,Case
120,-12.06600061274784,-0.7382442422138668,-4.847588340018265,2.674397666571076,-1.7219415700854084,-0.5921672884124779,0.8901570022141654,-3.4028842429890225,-2.1794815649460326,0.514137742477582,Case
122,-2.0559969573974235,-1.1130957176321696,0.8730884413420392,-0.6370562483710682,1.3112761056151565,3.0185843720245797,-1.5393558500094149,-1.7457765899717765,-1.1919098407738409,-0.5632836427344752,Case
126,9.801337163529054,5.995068032322093,0.5983551341318022,3.1927892770540316,6.055767784098464,0.5406479872483163,-1.0811563462512706,1.5286485027671326,-7.76971859803235,2.5341658164947725,Case
131,-7.578491081973115,2.299178452677252,-6.237837420117681,-4.080683214746936,-1.508908461985765,3.2567674585772015,1.3032209910723929,-0.058800503542063585,1.8579740480214786,0.5908205357166654,Case
132,-4.129304217740289,-7.4386292241085545,-3.5736721099914415,-1.1246752419420487,2.4997933572284006,-2.2353712670140378,1.9571841792696483,0.7268450444360871,-2.201785328974509,-3.268254977292293,Case
134,-9.279481202081937,-0.6578002007519715,-3.77432479125107,-0.5821600461021851,-2.05701721116083,4.759447536633801,-1.465303515029799,-0.357024660498719,1.5075546292545576,0.28957012704069246,Case
138,-9.857931248696804,-2.0481869301832627,-6.148702824904096,-1.6387548529858296,-1.1328322253664802,-1.7332649166300527,-2.3236197530986327,1.8662847773420959,2.2277617944719874,-4.262542328443493,Case
139,28.462455330034956,26.193038952820174,7.790859065994487,-9.41090490268502,-19.88013073159946,-12.17971505749493,18.484473458521276,-0.7619439052275998,4.696311256355775,-3.5809936462726033,Case
141,-8.332477962416547,-0.15720192025226898,0.27600608387624204,0.2753203513164313,-3.269533220063795,2.932713727540033,-1.8539070607844397,-2.019931123437209,-0.41505232331334585,-2.6058880471022596,Case
142,17.30144148249325,1.820638787598396,1.6222950262361169,-3.3110406538882473,0.4652575722842,2.3578815780363733,8.57063061344598,3.1858151913738313,-1.9706703527137184,-5.663648874569314,Case
144,3.945860941588371,3.547611861909636,0.552390185833171,1.660850249658076,3.0221526425171157,5.462957820979525,2.8309715590139257,3.3052238827317364,-0.5524352928711217,-0.5484594942287575,Case
145,-0.7098287593008775,6.358669157128977,0.3179151430098725,-5.442645875605403,-3.0591412171072605,1.7418431617948167,2.4984738352388156,-3.92882821233341,0.13596791720310772,-0.45419888698079697,Case
