,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Group
1,231.15804742979392,-15.258122250372253,-21.93789546670245,10.332035166011785,-15.808509750110222,-0.6842442365032263,-3.3880153073006434,-1.6322768585301506,-0.08345655967970406,1.9382833879050545,Case
10,3.967531666270682,4.902600708344606,-4.248865243247513,-2.713966079714323,-1.4359258752645425,1.4062498887263868,0.9514302892086218,-2.882760310145777,3.455102164939087,-1.2273908810413856,Case
100,-11.337213782347439,-2.0605864617474214,-2.730610637173395,-1.6517013459033347,-3.3007627378087228,0.9922401102252375,-2.9847081887673204,-2.5382733392856283,0.1697893988251122,-4.0175127859204895,Case
105,24.150935446815346,17.63379517947173,3.766044806007295,-5.202776434972597,1.2669138899443184,-2.939344141720076,-4.8045958345533695,-6.009811141666423,-1.807547719304087,-4.0083457042931565,Case
106,-5.3604997808369435,-3.7605861377584278,-3.4902957820000196,-1.6991208032445846,1.9078110676596176,-2.6518536596472693,-1.1655242879238177,-4.023566393552548,-2.5525796293266425,-3.042997162138628,Case
110,-2.5143357693905823,-0.9192519240716049,3.535251408271322,-1.7692864403575659,-2.2188700586475587,3.128298293264404,0.011654722571880811,-0.3926292353192955,-0.740261462640599,1.7645951193108966,Case
113,22.116230036835614,-12.817012307806252,18.19415332800366,-7.153683852430738,0.8282566649513492,1.76709696604536,1.2235166115722835,1.4365587639515338,-1.8824741146421466,1.1707227933107365,Case
114,15.575511533080158,-0.6908989155341906,13.088799452325002,-8.488569341562101,1.5369868852704087,-1.0430976617183698,-2.9234963505935,-5.897015833552899,0.45416132004846027,-0.9485076316569143,Case
115,35.07292776845991,-13.109156567198044,1.660802161189087,-11.133950126175474,10.370169823222325,0.8500180984234316,8.89586872068931,-4.7064307676401835,-1.4105639792737799,-2.84626595110006,Case
116,-9.510184974981867,-2.9178036097280087,-8.0532501192053,-6.381501995896415,-0.8422257483818888,3.736147083509316,-1.566684890029638,-1.961248009823286,1.5364444080315218,0.4886053572194695,Case
118,-8.67334321025738,-1.362435190849104,-3.1276689963827358,-1.0801905046718068,0.11245963264719748,1.3257007260091627,1.168962208290368,1.2281699961392858,-0.47110809116874897,1.0567197418091163,Case
120,-12.066000612747823,-0.7382442426484145,-4.847588342301014,2.6743977030111914,-1.7219412429016185,-0.5921715859748504,0.8901653795810176,-3.402918488811136,-2.179583828994548,0.5138722975790454,Case
122,-2.0559969573973924,-1.1130957174391005,0.8730884432436624,-0.6370562708873314,1.3112761386133336,3.0185877540706887,-1.5393540977460467,-1.745758814589906,-1.191878576896257,-0.5627897769279443,Case
126,9.8013371635289,5.9950680345518865,0.598355128100002,3.1927892675166114,6.055768273358341,0.5406463562700469,-1.0811328097253168,1.528573191760006,-7.769837408115951,2.5317403602078716,Case
